"","movie_name","rating","types","year","duration","audience_rating","expert_rating"
"14263","TAPE","NR","Drama, Mystery & Suspense","2020","1h38m","61","29"
"14264","TAPEHEADS","R","Comedy, Drama","1988","1h37m","60","46"
"14265","TAPS","PG","Action & Adventure, Drama, Mystery & Suspense","1981","2h6m","68","67"
"14266","TARGETS","PG","Action & Adventure, Classics, Mystery & Suspense","1968","1h32m","89","81"
"14267","TARZAN","G","Action & Adventure, Animation, Drama","1999","1h28m","89","75"
"14268","TARZAN","PG","Animation, Art House & International, Kids & Family","2014","1h34m","20","33"
"14269","TARZAN & JANE","G","Animation, Kids & Family","2002","1h15m","17","30"
"14270","TARZAN AND THE LOST CITY","PG","Action & Adventure, Kids & Family","1998","1h24m","6","22"
"14271","TARZAN ESCAPES","NR","Action & Adventure, Classics","1936","1h35m","71","58"
"14272","TARZAN II","G","Animation, Kids & Family","2005","1h12m","33","36"
"14273","TASHAN","NR","Action & Adventure, Art House & International, Drama, Mystery & Suspense","2008","2h20m","50","20"
"14274","A TASTE OF HONEY","NR","Art House & International, Classics, Drama","1961","1h40m","89","87"
"14275","TASTE THE BLOOD OF DRACULA","R","Art House & International, Classics, Drama, Horror, Science Fiction & Fantasy","1970","1h35m","67","55"
"14276","TATER TOT & PATTON","NR","Drama",NA,"1h31m","86","91"
"14277","TATSUMI","NR","Animation, Drama","2012","1h36m","94","80"
"14278","TAU","R","Mystery & Suspense, Science Fiction & Fantasy",NA,"1h37m","25","48"
"14279","TAXI","PG-13","Action & Adventure, Comedy","2004","1h37m","9","43"
"14280","TAXI DRIVER","R","Drama, Mystery & Suspense","1976","1h53m","96","93"
"14281","TAXI TO THE DARK SIDE","R","Documentary, Special Interest","2007","1h46m","100","90"
"14282","TCHOUPITOULAS","NR","Documentary, Special Interest","2012","1h20m","82","68"
"14283","TEA WITH THE DAMES (NOTHING LIKE A DAME)","NR","Documentary","2018","1h23m","98","76"
"14284","TEACHER","NR","Drama, Mystery & Suspense","2019","1h40m","100","62"
"14285","TEACHER OF THE YEAR","NR","Comedy","2015","1h20m","100","60"
"14286","TEACHERS","R","Comedy, Drama","1984","1h46m","67","45"
"14287","TEACHER'S PET","PG","Animation, Comedy, Kids & Family, Musical & Performing Arts, Television","2004","1h13m","76","47"
"14288","TEACHING MRS. TINGLE","PG-13","Comedy, Mystery & Suspense","1999","1h36m","19","31"
"14289","TEAM AMERICA: WORLD POLICE","R","Comedy, Drama","2004","1h38m","77","80"
"14290","FAH TALAI JONE (TEARS OF THE BLACK TIGER)","NR","Action & Adventure, Art House & International, Drama, Western, Romance","2007","1h50m","75","76"
"14291","TEARS OF THE SUN","R","Action & Adventure, Mystery & Suspense","2003","1h55m","33","69"
"14292","TED 2","R","Comedy","2015","1h55m","45","50"
"14293","TED","R","Comedy","2012","1h46m","69","73"
"14294","TED BUNDY","R","Drama, Horror, Mystery & Suspense","2002","1h36m","41","45"
"14295","TEDDY BEAR","NR","Drama","2012","1h32m","94","80"
"14296","TEEN BEACH MOVIE","PG","Kids & Family, Musical & Performing Arts, Television",NA,"1h30m","86","72"
"14297","TEEN SPIRIT","PG-13","Drama","2019","1h32m","71","58"
"14298","TEEN TITANS GO! TO THE MOVIES","PG","Action & Adventure, Animation, Kids & Family","2018","1h27m","91","72"
"14299","TEEN TITANS: THE JUDAS CONTRACT","PG-13","Action & Adventure, Animation",NA,"1h16m","83","73"
