"","rotten_tomatoes_link","movie_title","content_rating","genres","original_release_date","streaming_release_date","runtime","tomatometer_status","tomatometer_rating","audience_status","audience_rating"
"52","m/10006188-rise","Rise: Blood Hunter","R","Horror, Mystery & Suspense","2007-06-01","2016-11-01",97,"Rotten",36,"Spilled",20
"53","m/1000626-all_about_eve","All About Eve","PG","Classics, Drama","1950-01-01","2015-11-25",138,"Certified-Fresh",99,"Upright",94
"54","m/10006270","When Do We Eat?","R","Comedy","2006-04-07","2017-05-22",87,"Rotten",42,"Upright",68
"55","m/10006324","The Mostly Unfabulous Social Life of Ethan Green","R","Comedy, Drama","2006-06-16","2017-02-02",88,"Rotten",30,"Spilled",58
"56","m/10006343-dirty","Dirty","R","Drama","2006-02-24","2012-04-16",97,"Rotten",21,"Spilled",42
"57","m/10006370-stay_alive","Stay Alive","PG-13","Horror, Mystery & Suspense","2006-03-24","2016-08-09",85,"Rotten",10,"Spilled",55
"58","m/1000640-all_of_me","All of Me","PG","Comedy, Science Fiction & Fantasy","1984-09-21","2016-10-30",93,"Certified-Fresh",85,"Upright",67
"59","m/1000643-all_quiet_on_the_western_front","All Quiet on the Western Front","NR","Drama","","2018-04-16",156,"Fresh",100,"Upright",69
"60","m/10006434-dreamland","Dreamland","PG-13","Art House & International, Drama","2006-12-19","2012-04-16",88,"Fresh",67,"Upright",65
"61","m/10006485-black_gold","Independent Lens","NR","Documentary, Special Interest","2006-10-06","2007-01-09",77,"Certified-Fresh",84,"Upright",84
"62","m/1000654-all_the_kings_men","All the King's Men","PG","Classics, Drama","1949-11-08","2013-05-01",109,"Certified-Fresh",95,"Upright",78
"63","m/10006588-street_fight","Street Fight","NR","Documentary, Special Interest","2005-01-01","2016-12-05",86,"Fresh",100,"Upright",93
"64","m/10006780-lost_horizon","Lost Horizon","G","Action & Adventure, Drama, Musical & Performing Arts, Science Fiction & Fantasy","1973-03-17","2015-12-18",143,"Rotten",20,"Spilled",45
"65","m/10006848-the_motel","The Motel","NR","Comedy, Drama","2005-06-28","2017-03-17",76,"Fresh",88,"Upright",64
"66","m/10006849-once_in_a_lifetime","Once in a Lifetime: The Extraordinary Story of the New York Cosmos","PG-13","Documentary, Sports & Fitness","2006-05-18","2016-11-23",97,"Certified-Fresh",81,"Upright",80
"67","m/10006856-requiem","Requiem","NR","Art House & International, Drama, Horror, Mystery & Suspense","2006-10-20","2017-03-23",92,"Fresh",86,"Upright",66
"68","m/10006940-silk","Gui si (Silk)","PG-13","Art House & International, Horror, Mystery & Suspense","2006-05-24","2015-02-12",117,"Rotten",40,"Spilled",57
"69","m/10007139-park","Park","R","Art House & International, Comedy, Drama","2006-06-12","2017-11-05",86,"Rotten",36,"Spilled",48
"70","m/10007142-the_4th_dimension","The 4th Dimension","NR","Drama, Science Fiction & Fantasy","2006-04-01","2017-10-09",82,"Fresh",63,"Spilled",31
"71","m/10007333-bon_cop_bad_cop","Bon Cop, Bad Cop","R","Action & Adventure, Comedy","2006-07-04","2017-05-12",116,"Fresh",78,"Upright",82
"72","m/10007415-amazing_grace","Amazing Grace","PG","Drama, Mystery & Suspense","2007-02-23","2015-11-25",116,"Fresh",67,"Upright",85
"73","m/10007538-silence","The Silence","R","Action & Adventure, Drama, Mystery & Suspense, Television","","2016-11-18",104,"Rotten",50,"Spilled",38
"74","m/10007598-cocaine_cowboys","Cocaine Cowboys","R","Documentary","2006-10-27","2016-08-10",116,"Fresh",69,"Upright",79
"75","m/10007614-gone","Gone","R","Horror, Mystery & Suspense","2007-03-09","2014-02-12",88,"Rotten",54,"Spilled",20
"76","m/10007714-situation","The Situation","R","Drama, Mystery & Suspense","2006-10-18","2007-07-31",106,"Rotten",35,"Spilled",58
"77","m/10007821-snow_blind","Snow Blind","NR","Documentary, Sports & Fitness","2006-12-01","2017-05-22",105,"Rotten",20,"",NA
"78","m/10007856-four_sheets_to_the_wind","Four Sheets to the Wind","R","Art House & International, Drama","2007-01-22","2016-07-09",81,"Fresh",100,"Upright",61
"79","m/10007886-the_tigers_tail","The Tiger's Tail","R","Comedy, Drama, Mystery & Suspense","2006-09-26","2016-07-20",106,"Rotten",14,"Spilled",30
"80","m/10007893-its_a_boy_girl_thing","It's a Boy Girl Thing","PG-13","Comedy, Romance","2006-12-26","2016-11-30",95,"Fresh",67,"Upright",61
"81","m/10007898-slipstream","Slipstream","R","Art House & International, Comedy, Drama, Science Fiction & Fantasy","2007-10-26","2012-04-16",97,"Rotten",25,"Spilled",29
"82","m/10007902-delirious","Delirious","NR","Comedy, Drama","2007-08-15","2020-10-13",107,"Certified-Fresh",83,"Spilled",57
"83","m/10007916_interview","Interview","R","Art House & International, Drama","2007-07-13","2012-04-16",84,"Rotten",58,"Spilled",55
"84","m/1000792-american_anthem","American Anthem","PG-13","Action & Adventure, Documentary, Drama","1986-06-01","2013-12-03",102,"Rotten",0,"Upright",65
"85","m/10007947-ten","The Ten","R","Comedy","2007-01-18","2016-02-26",99,"Rotten",35,"Spilled",40
"86","m/10007985-happening","The Happening","R","Drama, Mystery & Suspense, Science Fiction & Fantasy","2008-06-11","2015-11-25",89,"Rotten",17,"Spilled",24
"87","m/10008005-moliere","Molière","PG-13","Comedy","2007-07-27","2014-03-09",120,"Fresh",69,"Upright",79
"88","m/10008126-straightheads","Straightheads (Closure)","R","Drama, Mystery & Suspense","2007-04-27","2012-05-01",88,"Rotten",40,"Spilled",32
"89","m/10008140-borderland","Borderland","R","Drama, Horror, Mystery & Suspense","2007-11-09","2016-08-10",104,"Fresh",100,"Spilled",43
"90","m/10008200-spiral","Spiral","PG-13","Drama, Mystery & Suspense","2007-01-27","2017-08-13",90,"Rotten",55,"Spilled",59
"91","m/10008234-alexandra","Alexandra","NR","Drama","2007-05-25","2015-02-11",95,"Certified-Fresh",88,"Upright",69
"92","m/10008390_blood_and_tears","Blood and Tears: The Arab-Israeli Conflict","PG-13","Documentary","2007-06-15","2007-08-28",73,"Rotten",50,"Spilled",33
"93","m/10008423-cool_school","The Cool School","NR","Documentary, Musical & Performing Arts","2008-03-07","2017-03-18",86,"Fresh",92,"Upright",63
"94","m/10008496-pathology","Pathology","R","Drama, Mystery & Suspense","2008-04-18","2017-01-17",93,"Rotten",45,"Spilled",39
"95","m/10008502-christmas_carol","Disney's A Christmas Carol","PG","Animation, Drama, Kids & Family, Science Fiction & Fantasy","2009-11-06","2015-11-23",95,"Rotten",52,"Spilled",58
"96","m/10008507-deep_water","Deep Water","PG","Documentary, Special Interest","2006-09-03","2017-04-04",93,"Certified-Fresh",96,"Upright",87
"97","m/10008562-road_to_victory","Road to Victory","NR","Art House & International, Drama, Sports & Fitness","2007-03-18","2016-07-11",99,"Fresh",78,"Upright",78
"98","m/10008587-beverly_hills_chihuahua","Beverly Hills Chihuahua","PG","Comedy","2008-09-30","2015-12-13",91,"Rotten",40,"Spilled",52
"99","m/10008601-fireflies_in_the_garden","Fireflies in the Garden","R","Drama","2011-10-14","2014-01-09",98,"Rotten",22,"Spilled",45
"100","m/10008606-eye","The Eye","PG-13","Drama, Horror, Mystery & Suspense","2008-02-01","2016-11-09",97,"Rotten",21,"Spilled",43
"101","m/10008607-day_of_the_dead","Day of the Dead","R","Horror, Mystery & Suspense","2008-04-01","2016-10-07",87,"Rotten",13,"Spilled",22
"102","m/10008611-my_best_friends_girl","My Best Friend's Girl","R","Comedy, Drama","2008-09-18","2016-09-09",103,"Rotten",14,"Spilled",46
"103","m/10008613-burrowers","The Burrowers","R","Horror, Mystery & Suspense, Western","2008-09-01","2016-11-07",96,"Fresh",75,"Spilled",34
"104","m/10008617-midnight_meat_train","The Midnight Meat Train","R","Drama, Horror, Mystery & Suspense","2008-08-14","2016-10-18",100,"Fresh",73,"Spilled",50
"105","m/10008618-return","The Lucky Ones","R","Comedy, Drama","2008-09-26","2016-10-06",115,"Rotten",37,"Spilled",54
"106","m/10008621-run_fat_boy_run","Run Fatboy Run","PG-13","Comedy","2007-09-07","2010-07-02",100,"Rotten",47,"Upright",64
"107","m/10008652-closing_escrow","Closing Escrow","PG","Comedy","2007-02-28","2016-08-10",95,"Rotten",54,"Spilled",36
"108","m/10008655-whiteout","Whiteout","R","Action & Adventure, Drama, Mystery & Suspense","2009-09-11","2011-06-17",101,"Rotten",7,"Spilled",21
"109","m/10008661-randy_and_the_mob","Randy and the Mob","PG","Comedy, Documentary","2007-10-13","2017-05-14",99,"Rotten",56,"Spilled",39
"110","m/10008667-black_irish","Black Irish","R","Drama","2007-10-26","2020-05-24",94,"Rotten",31,"Spilled",58
"111","m/10008678-wild_child","Wild Child","PG-13","Comedy","2008-08-14","2014-02-12",98,"Rotten",41,"Upright",61
"112","m/10008687-powder_blue","Powder Blue","R","Drama","2009-05-08","2017-04-17",108,"Rotten",25,"Spilled",40
"113","m/10008698-king_corn","King Corn","NR","Documentary, Musical & Performing Arts, Special Interest","2007-10-12","2016-06-22",90,"Fresh",96,"Upright",78
